Variable,Test,Effect,F,Num DF,Den DF,P,partial_eta_sq,n_participants,n_participants_available,n_observations
SBP,two-way repeated-measures ANOVA,visit,0.879276459250366,1,48,0.353094371875379,0.017988737210204,49,49,294
SBP,two-way repeated-measures ANOVA,time,59.6277513850143,2,96,1.46965225226548e-17,0.554018369962123,49,49,294
SBP,two-way repeated-measures ANOVA,visit:time,1.42313209762393,2,96,0.245995236014723,0.0287948585454451,49,49,294
DBP,two-way repeated-measures ANOVA,visit,2.51872791328009,1,48,0.119067753402395,0.0498573106908732,49,49,294
DBP,two-way repeated-measures ANOVA,time,104.924262796881,2,96,6.99378708496925e-25,0.68611913425566,49,49,294
DBP,two-way repeated-measures ANOVA,visit:time,2.5440610579672,2,96,0.0838326125443951,0.0503335308781284,49,49,294
MBP,two-way repeated-measures ANOVA,visit,1.70452587799034,1,48,0.19792035043176,0.0342931724602794,49,49,294
MBP,two-way repeated-measures ANOVA,time,104.071069807367,2,96,9.14834506676254e-25,0.684358109265601,49,49,294
MBP,two-way repeated-measures ANOVA,visit:time,2.14465452724801,2,96,0.12268642238669,0.0427693549286022,49,49,294
HR,two-way repeated-measures ANOVA,visit,2.28304160122509,1,48,0.137351032004518,0.0454038086902338,49,49,294
HR,two-way repeated-measures ANOVA,time,49.154963264536,2,96,2.00105848952474e-15,0.505943923118942,49,49,294
HR,two-way repeated-measures ANOVA,visit:time,1.41895325316419,2,96,0.246995682511317,0.0287127338755064,49,49,294
MCAv mean,two-way repeated-measures ANOVA,visit,0.175874949436568,1,45,0.676937801308122,0.0038931166166326,46,46,276
MCAv mean,two-way repeated-measures ANOVA,time,3.51955785793709,2,90,0.033752470103968,0.0725389515758198,46,46,276
MCAv mean,two-way repeated-measures ANOVA,visit:time,0.434953530977368,2,90,0.648648100202189,0.00957310390294156,46,46,276
CVCi,two-way repeated-measures ANOVA,visit,1.07444782919618,1,45,0.305481116437591,0.0233198199830695,46,46,276
CVCi,two-way repeated-measures ANOVA,time,45.9679578899759,2,90,1.75623679996998e-14,0.505320323289804,46,46,276
CVCi,two-way repeated-measures ANOVA,visit:time,2.90073793669053,2,90,0.0601400714300132,0.0605572703394336,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,visit,1.04600193082383,1,45,0.311896567954103,0.0227164550007027,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,time,15.9017408610133,2,90,1.21962496201129e-06,0.261104865578529,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,visit:time,0.653221103501728,2,90,0.52281615117875,0.0143083245324748,46,46,276
ET-CO2,two-way repeated-measures ANOVA,visit,1.86826893139023,1,41,0.179122024910694,0.0435816275758733,42,45,252
ET-CO2,two-way repeated-measures ANOVA,time,40.6593122493508,2,82,5.39390995370858e-13,0.497913968773036,42,45,252
ET-CO2,two-way repeated-measures ANOVA,visit:time,1.93176643892543,2,82,0.151428997477104,0.0449962020937004,42,45,252
