Variable,Visit,Epoch,Center,Err_lo,Err_hi,Summary
SBP,V1,Baseline,0,0,0,mean_sd
SBP,V1,Min 1,7.30118458163266,10.3974183711268,10.3974183711268,mean_sd
SBP,V1,Min 2,15.8143271020408,14.0034119229882,14.0034119229882,mean_sd
SBP,V2,Baseline,0,0,0,mean_sd
SBP,V2,Min 1,5.9173955,4.607304,3.943184,median_iqr
SBP,V2,Min 2,13.6186165,4.90354000000001,8.96555149999999,median_iqr
DBP,V1,Baseline,0,0,0,mean_sd
DBP,V1,Min 1,6.05976186734694,5.64902760522782,5.64902760522782,mean_sd
DBP,V1,Min 2,11.24785,4.2224645,4.38823050000001,median_iqr
DBP,V2,Baseline,0,0,0,mean_sd
DBP,V2,Min 1,4.29313208163265,6.41048138983394,6.41048138983394,mean_sd
DBP,V2,Min 2,10.4432943061224,6.19893756253708,6.19893756253708,mean_sd
MBP,V1,Baseline,0,0,0,mean_sd
MBP,V1,Min 1,7.83323469047619,7.30150211866922,7.30150211866922,mean_sd
MBP,V1,Min 2,15.194229,7.28257899999999,5.47243766666666,median_iqr
MBP,V2,Baseline,0,0,0,mean_sd
MBP,V2,Min 1,5.76039177551021,7.94671322359622,7.94671322359622,mean_sd
MBP,V2,Min 2,14.2075029183673,8.57820132289944,8.57820132289944,mean_sd
HR,V1,Baseline,0,0,0,mean_sd
HR,V1,Min 1,9.67987399999999,5.60284749999999,8.85147000000001,median_iqr
HR,V1,Min 2,6.013178,3.560416,4.86581099999999,median_iqr
HR,V2,Baseline,0,0,0,mean_sd
HR,V2,Min 1,10.710146,6.1106895,6.0842545,median_iqr
HR,V2,Min 2,5.4153615,4.2058975,5.603621,median_iqr
MCAv mean,V1,Baseline,0,0,0,mean_sd
MCAv mean,V1,Min 1,1.05313489130435,4.50629190990523,4.50629190990523,mean_sd
MCAv mean,V1,Min 2,-0.753896391304348,7.85448556480643,7.85448556480643,mean_sd
MCAv mean,V2,Baseline,0,0,0,mean_sd
MCAv mean,V2,Min 1,1.706157,4.44991,2.892525875,median_iqr
MCAv mean,V2,Min 2,-0.771786576086957,7.56132146223618,7.56132146223618,mean_sd
CVCi,V1,Baseline,0,0,0,mean_sd
CVCi,V1,Min 1,-0.040129041757725,0.0585551710516075,0.0585551710516075,mean_sd
CVCi,V1,Min 2,-0.0946436455008726,0.0846055642625484,0.0846055642625484,mean_sd
CVCi,V2,Baseline,0,0,0,mean_sd
CVCi,V2,Min 1,-0.0171570072969995,0.0873698667808992,0.0873698667808992,mean_sd
CVCi,V2,Min 2,-0.0947954931727703,0.0944740172247582,0.0944740172247582,mean_sd
MCAv pulsatility,V1,Baseline,0,0,0,mean_sd
MCAv pulsatility,V1,Min 1,-0.0493033276304348,0.0803102898385739,0.0803102898385739,mean_sd
MCAv pulsatility,V1,Min 2,-0.057717897,0.047121403375,0.047287339125,median_iqr
MCAv pulsatility,V2,Baseline,0,0,0,mean_sd
MCAv pulsatility,V2,Min 1,-0.058477802,0.0426725915,0.035113292375,median_iqr
MCAv pulsatility,V2,Min 2,-0.04477935375,0.0724601470000001,0.04057345,median_iqr
ET-CO2,V1,Baseline,0,0,0,mean_sd
ET-CO2,V1,Min 1,-1.267091,1.654061,0.888964999999999,median_iqr
ET-CO2,V1,Min 2,-2.28986275,2.2621565,1.804061625,median_iqr
ET-CO2,V2,Baseline,0,0,0,mean_sd
ET-CO2,V2,Min 1,-1.85059406818182,2.51426779888323,2.51426779888323,mean_sd
ET-CO2,V2,Min 2,-2.710308,2.7439295,1.978808,median_iqr
